USERID,Recency,Frequency,Monetary
12696,69,2,852
12698,225,1,340
12699,52,1,638
12701,164,4,1649
12703,268,3,723
12705,18,5,4894
12708,3,9,2601
12709,1,20,21357
12711,246,2,1339
12712,0,10,2798
12714,23,7,9385
12717,225,1,278
12720,4,6,2479
12721,20,2,1357
12724,18,3,1286
12725,6,4,2267
12726,22,4,1406
12727,77,3,1699
12728,18,1,234
12730,156,1,829
12731,77,5,6880
12733,24,3,2041
12734,9,2,529
12737,133,2,3710
12738,7,1,155
12739,20,2,1714
12741,164,2,406
12742,260,1,1202
12744,94,4,4038
12745,121,3,925
12746,175,1,255
12747,4,16,5081
12748,0,144,22880
12749,34,4,2806
12751,79,1,268
12755,0,10,5219
12758,94,5,7112
12759,21,5,3489
12760,90,1,348
12761,92,2,783
12763,4,1,320
12765,107,6,1405
12766,1,3,3079
12767,10,1,950
12768,85,1,169
12770,91,1,1895
12771,120,1,282
12773,199,1,124
12774,170,1,99
12775,23,2,300
12776,302,1,56
12777,92,1,519
12778,31,3,953
12779,6,7,2741
12780,233,1,337
12782,9,6,2287
12784,164,1,1230
12785,170,2,788
12786,244,1,728
12787,48,1,399
12788,98,4,445
12789,147,2,182
12790,45,1,267
12791,8,6,864
12792,169,1,426
12793,6,2,472
12796,263,1,381
12797,0,2,552
12798,56,1,1534
12799,164,1,219
12800,105,3,584
12801,135,1,1072
12802,77,6,1989
12803,28,1,1093
12804,100,2,327
12805,16,4,1435
12806,70,4,2879
12807,18,1,330
12808,3,3,422
12809,200,2,1267
12810,169,2,535
12811,13,2,519
12813,136,3,1688
12817,34,2,525
12819,93,1,541
12820,32,7,1747
12821,246,1,128
12823,29,13,4742
12825,156,2,519
12826,0,6,1481
12829,185,1,92
12831,98,2,236
12835,62,41,6043
12836,24,11,3973
12837,204,1,554
12838,8,9,2715
12839,2,13,4480
12840,72,3,1315
12841,4,17,3518
12842,39,2,799
12843,17,22,4886
12844,77,2,323
12846,317,1,16
12847,22,1,765
12848,310,1,208
12849,16,4,2040
12850,80,1,330
12851,112,1,149
12853,62,5,1950
12854,196,4,1670
12855,7,4,613
12857,71,4,2582
12858,18,1,178
12859,93,1,575
12860,328,1,55
12861,254,1,68
12862,60,2,1008
12863,14,5,2271
12864,143,1,152
12865,13,2,1755
12866,109,2,668
12867,32,6,3876
12868,8,3,640
12869,316,1,338
12870,10,3,1677
12871,74,1,363
12872,0,11,3086
12873,32,2,1653
12874,20,2,948
12875,106,3,1014
12876,29,2,1864
12877,36,8,1419
12880,16,2,640
12887,18,1,222
12889,16,4,385
12890,22,1,337
12891,93,8,510
12892,31,1,263
12894,210,1,157
12897,16,2,298
12898,98,2,311
12899,48,1,366
12900,57,1,340
12903,63,1,834
12905,211,2,1018
12907,30,2,509
12908,15,3,1026
12909,59,3,925
12910,14,5,2721
12911,186,1,1680
12913,3,9,4217
12914,35,1,224
12915,7,3,811
12916,77,3,1648
12917,35,5,3765
12918,261,1,10954
12920,206,3,324
12921,1,39,19334
12923,25,2,613
12924,28,8,1536
12925,227,1,35
12926,46,4,1548
12927,29,1,197
12928,13,7,2242
12931,15,42,50291
12932,174,8,1699
12933,15,5,1080
12934,371,1,182
12935,10,8,2083
12937,98,5,1593
12939,14,12,13683
12941,359,1,377
12942,0,1,259
12943,193,2,496
12945,291,1,437
12946,71,1,324
12947,8,1,304
12948,365,2,252
12949,17,14,11359
12951,21,9,2150
12953,157,1,499
12954,273,1,162
12956,319,3,414
12957,176,5,4689
12958,35,2,539
12959,119,1,151
12960,48,4,1322
12961,14,1,212
12963,0,5,1745
12964,72,1,132
12967,6,2,2646
12969,237,1,122
12970,15,6,1073
12971,1,33,4783
12972,48,4,1161
12973,48,1,386
12974,200,1,264
12975,71,6,2100
12976,13,7,2418
12977,136,3,478
12978,20,5,2503
12979,364,1,518
12980,21,12,8871
12982,29,7,2354
12983,233,1,490
12986,63,10,2730
12987,55,3,754
12989,59,18,6628
12990,52,4,546
12991,24,1,261
12992,360,1,93
12993,80,4,845
12996,10,1,356
12997,29,4,884
12998,127,3,920
13000,360,1,498
13001,39,20,14353
13002,51,2,293
13004,21,18,5995
13005,66,2,486
13007,214,1,175
13008,32,2,383
13009,307,1,234
13010,9,2,330
13011,7,1,51
13012,64,3,1311
13013,6,18,7815
13014,67,1,1915
13015,73,6,3240
13018,48,7,2485
13019,14,6,1230
13020,197,2,619
13021,9,8,2271
13022,64,1,65
13023,163,1,759
13024,105,2,556
13025,366,1,323
13026,123,4,758
13027,20,13,10423
13029,9,2,680
13030,3,1,428
13031,42,5,3419
13032,27,7,1833
13033,64,1,30
13034,4,2,280
13035,66,1,442
13036,319,1,307
13037,34,9,3034
13039,219,4,1011
13041,85,4,799
13042,233,3,1557
13044,127,10,4293
13045,36,2,504
13046,91,1,320
13047,8,17,5558
13048,71,5,2248
13049,24,2,752
13050,1,19,6508
13051,213,2,156
13052,55,6,2820
13053,256,1,128
13055,64,1,1107
13056,186,1,209
13057,165,3,722
13059,48,9,2120
13063,115,1,188
13064,185,2,561
13065,8,5,1055
13067,44,2,393
13069,4,16,5247
13070,94,3,523
13071,247,1,129
13073,46,2,418
13074,146,4,1379
13076,92,1,135
13077,1,8,2335
13078,1,32,16905
13079,52,1,199
13080,36,3,223
13081,6,19,30868
13082,59,12,3722
13083,60,1,92
13084,126,1,122
13085,314,6,2017
13086,17,1,439
13087,361,1,314
13088,52,1,236
13089,3,109,57912
13090,0,13,5192
13091,364,2,1976
13092,49,7,1662
13093,8,48,47111
13094,3,2,506
13096,29,1,420
13097,23,18,7379
13101,133,3,594
13102,0,14,5273
13103,72,2,466
13104,50,3,611
13105,71,1,72
13106,48,1,527
13107,48,5,3721
13108,7,2,748
13109,186,1,347
13110,72,5,1469
13111,353,1,322
13112,176,1,21
13113,1,14,6380
13114,365,1,234
13115,14,6,3200
13117,0,12,1659
13118,11,4,1218
13119,303,1,135
13123,107,2,507
13124,20,1,916
13125,158,1,159
13126,1,7,1899
13128,266,1,264
13129,87,2,233
13131,53,4,2240
13133,94,1,91
13134,37,2,682
13135,126,1,275
13136,10,8,3667
13137,21,8,4062
13138,7,2,505
13139,72,1,3138
13140,1,3,792
13141,20,12,5280
13143,219,1,405
13144,66,1,24
13145,7,4,805
13148,24,14,4915
13150,119,3,450
13151,260,2,1323
13152,52,7,2146
13154,34,3,1625
13155,3,3,778
13156,20,3,1587
13157,44,5,3946
13158,23,1,307
13161,135,1,366
13162,15,12,7587
13163,245,1,18
13164,204,2,372
13165,48,1,430
13166,49,1,467
13167,25,1,334
13168,177,1,556
13169,197,1,127
13172,35,1,70
13173,2,10,2286
13174,4,10,6678
13175,217,2,831
13177,65,1,230
13178,32,10,8334
13179,253,1,572
13180,242,1,86
13181,16,1,360
13183,29,6,3078
13187,259,3,131
13190,179,3,571
13191,293,1,165
13192,170,4,1647
13194,56,1,412
13195,49,1,172
13196,78,3,1271
13197,244,1,373
13198,22,2,1573
13199,1,30,6616
13201,137,4,1241
13202,29,7,1580
13203,21,6,1779
13204,366,1,967
13205,78,1,2803
13206,35,13,8377
13207,86,2,286
13208,84,3,765
13209,149,5,2618
13211,16,7,1532
13213,18,6,2331
13214,52,7,3264
13215,37,1,82
13217,290,1,132
13219,253,1,76
13220,210,1,517
13222,212,1,88
13223,58,4,806
13225,56,9,9796
13226,28,1,204
13230,0,17,3554
13233,55,2,571
13234,307,2,357
13237,22,1,643
13238,65,2,306
13239,72,4,1265
13240,0,5,1075
13241,46,1,116
13242,86,4,429
13243,84,4,678
13245,67,1,559
13246,28,5,1400
13249,36,6,898
13250,95,2,256
13251,37,1,253
13252,29,2,399
13253,65,2,1921
13254,11,1,51
13255,8,2,505
13257,71,1,150
13258,14,2,337
13259,32,8,1141
13262,24,2,373
13263,28,4,1251
13264,77,1,723
13266,48,7,2301
13267,1,18,5237
13269,4,14,3545
13270,1,1,590
13274,44,1,361
13275,18,2,242
13276,32,3,1348
13277,15,3,265
13278,34,3,893
13280,14,4,1508
13281,74,1,351
13282,41,1,181
13283,202,2,280
13285,235,2,655
13286,235,1,735
13287,238,3,782
13288,78,5,928
13289,358,1,308
13290,73,1,209
13291,49,10,2960
13292,50,3,416
13293,27,6,1193
13294,281,1,816
13295,11,3,901
13296,58,5,705
13297,20,3,2279
13299,58,2,1076
13300,23,2,914
13302,161,1,95
13303,35,1,62
13304,90,3,918
13305,7,7,1754
13306,65,1,54
13307,122,2,258
13308,231,1,285
13309,27,1,250
13310,15,2,409
13312,86,1,125
13313,114,7,1890
13315,324,1,310
13316,27,6,7214
13317,20,13,4212
13319,0,34,11237
13320,69,2,679
13324,63,8,3392
13326,67,1,282
13327,0,14,6252
13329,1,7,4324
13330,90,3,1665
13331,36,1,262
13333,46,3,1016
13334,171,2,2727
13337,181,1,1575
13338,176,3,1959
13340,52,5,11364
13346,97,6,299
13357,129,4,3228
13359,38,1,604
13360,66,4,1554
13361,107,2,1450
13362,13,3,2303
13363,44,1,731
13367,66,1,510
13368,49,2,498
13369,0,1,308
13370,6,1,755
13371,140,2,2298
13373,50,3,4275
13374,49,2,423
13375,79,1,1014
13377,31,2,1553
13380,67,1,62
13381,14,6,4585
13382,63,4,1165
13383,178,1,305
13384,25,4,2529
13386,49,2,835
13387,52,1,189
13388,238,1,509
13392,312,1,91
13393,218,4,1131
13394,14,11,4102
13395,35,2,873
13397,72,5,1648
13398,83,1,213
13399,99,3,275
13400,217,1,311
13402,7,3,914
13403,22,2,154
13405,116,3,641
13406,62,2,569
13407,213,3,2245
13408,6,46,23616
13410,28,4,1199
13412,255,1,487
13413,274,6,429
13414,98,3,1104
13415,107,4,801
13416,371,1,228
13417,182,4,1029
13418,7,15,6106
13421,41,6,2252
13423,63,1,217
13424,84,1,573
13425,143,2,1779
13426,17,12,4526
13427,112,3,424
13428,149,2,282
13431,41,6,2047
13432,206,2,439
13433,136,4,658
13434,20,3,1133
13435,11,2,665
13438,182,1,46
13439,23,2,703
13440,58,7,1295
13441,66,1,424
13442,302,3,420
13443,83,6,1280
13444,9,2,632
13445,261,1,242
13446,65,11,3882
13448,8,9,5702
13450,9,7,2076
13451,16,6,4215
13452,107,1,140
13453,37,1,425
13454,276,1,220
13455,1,5,1848
13457,323,2,148
13458,14,2,2313
13459,259,2,1160
13461,42,3,2715
13462,45,4,1002
13464,29,5,2423
13465,81,2,931
13466,43,4,705
13468,3,38,7686
13469,288,1,82
13472,98,2,592
13473,209,6,2235
13474,78,2,434
13476,41,3,823
13477,90,5,1380
13478,104,5,2216
13479,87,2,550
13480,51,2,628
13481,9,6,2026
13482,262,1,151
13484,18,2,477
13485,11,10,2565
13487,140,2,271
13488,2,11,6620
13490,289,1,154
13491,7,18,3351
13495,3,6,3329
13497,3,5,972
13498,365,1,327
13500,36,1,300
13501,121,2,1545
13502,50,2,488
13503,114,5,1689
13506,4,4,1181
13508,277,1,176
13509,142,1,135
13510,10,7,2767
13511,311,1,283
13512,22,3,462
13513,76,2,619
13514,63,3,664
13515,84,2,375
13516,52,1,296
13519,77,1,220
13520,6,6,3285
13523,1,2,1137
13526,373,2,1182
13527,53,5,2396
13530,269,1,403
13531,1,5,1255
13534,14,10,1851
13535,37,1,90
13537,60,2,718
13538,31,5,1832
13539,55,4,938
13540,102,3,632
13541,62,2,785
13542,11,17,4006
13543,269,2,1440
13544,46,4,538
13545,25,2,375
13546,17,2,465
13547,43,1,176
13548,106,1,227
13549,22,1,88
13550,18,1,350
13551,301,1,152
13552,63,10,3239
13553,309,1,518
13554,15,7,1638
13555,13,9,4850
13556,64,2,201
13557,50,11,2448
13559,147,2,990
13561,32,10,1679
13562,36,5,3039
13564,3,35,15501
13565,46,1,175
13566,69,3,833
13567,63,4,1084
13569,2,3,520
13571,17,14,2454
13573,14,4,622
13574,46,1,421
13576,8,11,4834
13577,17,7,1802
13578,44,1,148
13579,4,4,1072
13580,41,1,108
13581,49,1,163
13582,24,2,242
13583,314,1,664
13584,133,2,250
13585,165,3,685
13586,176,1,132
13587,84,3,961
13589,84,4,741
13590,10,12,4368
13591,70,4,977
13593,22,9,3487
13594,120,1,136
13595,151,3,818
13597,35,2,397
13598,130,4,609
13599,1,14,5014
13600,269,1,299
13601,27,2,492
13602,16,3,596
13604,293,1,718
13605,22,2,523
13607,37,1,400
13608,175,1,236
13609,228,1,167
13610,22,7,1044
13611,9,7,2148
13612,267,1,818
13613,87,5,1040
13614,28,2,749
13615,34,7,5855
13616,203,2,288
13617,43,5,735
13619,179,2,232
13620,163,1,112
13622,331,1,659
13623,15,5,1819
13624,23,1,462
13625,231,1,301
13626,14,1,450
13627,123,2,607
13628,311,1,310
13629,48,8,5578
13632,29,3,1527
13634,9,11,3498
13635,77,3,1928
13639,71,1,313
13640,246,1,405
13641,275,5,1016
13642,67,3,160
13643,17,7,1637
13646,34,2,326
13647,129,4,1394
13648,35,8,1764
13649,1,5,1332
13650,9,4,1452
13651,16,1,133
13652,3,3,1476
13653,122,1,152
13654,15,5,3601
13655,9,4,1348
13656,134,2,699
13658,18,4,3386
13659,51,10,3322
13660,35,1,315
13661,238,1,325
13662,20,8,1352
13663,15,4,1858
13665,21,3,1712
13666,55,2,43
13668,18,14,6726
13669,42,1,195
13671,29,1,195
13672,365,1,234
13674,67,1,241
13676,174,2,244
13677,39,2,556
13679,128,3,281
13680,106,8,7713
13683,92,1,259
13684,25,3,530
13686,15,2,337
13687,73,1,11881
13688,270,1,376
13689,79,1,350
13691,31,1,213
13692,43,2,1626
13693,9,9,2012
13694,8,94,131443
13695,212,1,267
13696,56,3,2020
13698,231,2,466
13699,185,1,456
13700,52,3,348
13701,81,1,161
13702,80,1,135
13703,50,1,326
13705,8,5,1323
13706,261,1,300
13707,64,3,2559
13709,81,5,1264
13710,58,2,329
13711,41,7,1540
13712,245,1,538
13713,43,3,743
13714,100,1,161
13715,7,13,7404
13717,92,2,318
13719,28,6,1774
13721,30,1,217
13722,55,7,3260
13723,27,5,1009
13724,272,1,213
13727,246,6,747
13728,22,10,1839
13729,70,3,725
13733,45,2,487
13734,143,4,6702
13735,11,9,6928
13736,60,5,2034
13738,31,1,441
13739,162,1,75
13740,50,4,1247
13745,181,1,477
13746,48,1,177
13747,8,2,170
13748,8,5,1320
13750,15,6,1955
13752,162,1,404
13753,233,3,1353
13754,72,1,164
13756,2,10,4018
13757,309,1,196
13758,1,10,6226
13760,39,3,1077
13761,137,4,882
13762,228,4,2166
13763,52,2,3502
13764,204,3,1432
13765,288,1,353
13766,130,1,190
13767,4,39,18320
13768,361,2,876
13769,2,11,3004
13770,57,4,785
13771,168,5,3094
13772,35,5,1982
13773,31,2,302
13775,225,1,1050
13776,63,2,624
13777,1,37,30501
13778,126,3,946
13779,150,1,161
13780,42,1,376
13781,227,2,651
13782,88,7,882
13783,122,4,1542
13784,69,3,447
13785,63,4,542
13786,2,6,3129
13787,93,4,913
13788,140,1,4
13789,23,1,239
13792,57,1,188
13793,281,1,96
13794,181,1,126
13795,23,4,836
13796,134,1,290
13797,71,3,1179
13798,7,54,38683
13799,79,7,2115
13800,65,2,1121
13802,9,16,21660
13803,66,2,1062
13804,70,2,573
13807,2,3,422
13809,29,2,525
13813,162,4,1399
13814,162,1,678
13815,41,4,3448
13818,64,1,61
13819,304,3,1502
13820,53,3,661
13821,28,4,1025
13823,15,5,2446
13824,14,7,1616
13825,256,2,256
13829,56,1,102
13830,216,1,157
13831,4,13,4821
13832,57,1,561
13833,39,1,317
13834,211,2,324
13835,154,3,261
13836,34,2,620
13838,4,7,1274
13839,121,1,140
13840,51,1,651
13842,1,10,2244
13843,16,1,320
13846,34,1,443
13847,354,1,311
13848,1,6,2080
13849,32,3,1931
13851,14,5,1955
13852,245,1,187
13854,0,15,4144
13855,135,4,1310
13856,98,8,754
13857,28,6,1001
13859,164,1,315
13861,64,2,273
13862,24,1,347
13863,100,3,934
13864,21,1,662
13869,16,6,5007
13870,22,7,2941
13871,63,4,1483
13872,162,3,920
13873,18,5,649
13874,139,6,1509
13875,22,9,3028
13877,105,2,332
13878,182,3,1192
13879,280,1,396
13880,2,5,1172
13881,10,23,28020
13883,38,10,3886
13884,11,5,1101
13888,39,5,1563
13889,17,5,1574
13890,9,4,1044
13891,13,3,864
13892,112,2,635
13895,150,2,1415
13896,260,1,389
13897,73,2,850
13898,46,1,530
13900,24,3,870
13901,9,10,2809
13902,267,5,34095
13903,35,1,165
13905,367,1,313
13906,44,1,42
13907,326,1,137
13909,58,2,287
13911,14,11,1654
13912,58,1,125
13913,141,1,42
13915,29,1,71
13916,98,4,1276
13919,59,2,976
13920,66,4,1775
13921,37,4,731
13922,72,2,693
13927,72,1,359
13929,51,9,2651
13931,27,9,4020
13935,231,3,6117
13936,17,2,563
13937,37,1,721
13939,66,4,992
13941,7,11,6009
13942,169,1,320
13943,212,1,247
13944,288,1,200
13945,29,2,854
13946,11,3,1315
13948,46,3,447
13952,15,12,9572
13953,44,5,3125
13955,10,1,222
13957,52,3,458
13958,14,8,4709
13959,34,3,478
13961,27,1,538
13962,70,1,193
13963,2,14,2347
13964,22,2,439
13965,111,3,997
13966,70,1,391
13967,31,1,86
13968,58,1,124
13969,0,18,4312
13970,21,2,847
13971,58,6,1909
13974,217,1,264
13975,28,6,2833
13976,141,3,834
13977,46,1,520
13979,28,6,2546
13980,74,4,600
13981,50,1,331
13982,0,6,2574
13983,1,10,4505
13984,1,8,1128
13985,9,7,2961
13987,14,2,683
13988,18,2,610
13989,99,3,760
13992,15,2,143
13993,14,10,3309
13995,14,9,2508
13996,21,2,896
13997,154,3,382
13998,81,3,567
13999,9,17,5600
14000,49,4,1411
14001,8,7,2487
14003,367,1,209
14004,28,4,1676
14006,163,4,1234
14007,147,1,79
14008,67,1,509
14009,97,1,404
14010,200,2,445
14011,115,2,458
14013,15,2,612
14014,11,2,1443
14016,31,7,7062
14017,206,1,230
14018,280,1,367
14020,111,2,606
14021,9,4,1085
14022,121,1,352
14024,25,1,318
14025,99,8,4058
14026,105,2,713
14028,185,3,10396
14030,1,14,5902
14031,0,27,23712
14032,1,6,1875
14033,190,1,109
14035,41,4,1429
14037,113,4,690
14038,32,2,1510
14039,210,1,115
14040,21,23,9031
14042,360,1,432
14043,126,2,304
14044,53,6,2470
14045,8,13,9653
14047,7,10,2946
14048,17,2,339
14049,22,9,7557
14051,1,15,6824
14052,25,1,255
14053,32,2,312
14055,212,2,795
14057,16,5,2191
14058,97,2,469
14060,1,13,3379
14061,142,3,917
14062,9,12,15139
14063,73,9,22710
14064,65,10,1979
14065,24,3,891
14068,238,3,1263
14069,149,2,230
14070,319,1,327
14072,301,1,391
14074,258,1,219
14075,38,3,793
14077,30,1,116
14078,8,4,643
14079,317,1,244
14080,48,4,1070
14081,4,9,4436
14082,27,1,231
14083,6,3,389
14084,147,1,150
14085,3,16,5656
14086,97,1,40
14087,39,2,652
14088,41,3,13545
14091,289,2,9530
14092,9,10,3153
14094,74,1,335
14095,357,1,3
14097,116,2,423
14099,10,9,2662
14101,23,7,3985
14103,300,1,0
14104,24,3,555
14105,43,4,4723
14106,372,1,215
14107,83,4,2174
14108,366,2,447
14110,70,21,7305
14112,86,6,2919
14113,10,12,5252
14114,30,5,978
14115,136,2,623
14118,63,1,458
14119,10,2,183
14122,41,3,362
14123,368,1,436
14126,79,1,466
14127,15,3,1190
14128,186,1,287
14129,34,4,1467
14130,10,3,1399
14131,283,1,188
14133,368,1,306
14134,17,15,11123
14135,2,11,4954
14136,35,5,1571
14137,330,1,333
14139,125,3,671
14142,8,2,671
14144,121,1,31
14145,94,3,3858
14146,18,7,5259
14147,23,7,2107
14148,49,1,309
14151,308,2,679
14152,22,5,1376
14153,118,1,233
14154,16,6,5115
14156,6,102,196567
14157,24,3,570
14159,14,9,3245
14160,245,7,8421
14161,4,5,2208
14163,97,1,149
14166,140,2,257
14167,99,4,722
14168,55,2,370
14169,65,2,624
14170,10,3,597
14171,365,1,135
14172,240,3,403
14173,276,2,135
14175,53,5,4457
14176,2,2,339
14177,16,9,1670
14180,7,9,1571
14181,45,2,311
14182,78,4,679
14183,46,2,286
14186,62,5,1551
14187,108,1,124
14189,3,2,1160
14190,301,1,80
14191,29,2,133
14192,23,1,294
14193,31,1,357
14194,27,15,7321
14195,74,4,1604
14197,45,1,390
14198,35,5,868
14199,58,3,906
14200,252,1,379
14201,44,3,446
14202,16,3,848
14203,32,1,339
14204,57,3,902
14205,29,7,1948
14206,23,2,857
14207,322,1,158
14208,186,1,415
14209,20,9,2920
14210,6,11,3956
14211,46,9,2161
14212,80,1,1120
14213,39,1,1192
14215,3,4,1627
14216,49,1,311
14217,1,7,1412
14219,44,2,544
14220,202,2,883
14221,84,8,3085
14224,25,5,848
14225,69,4,2037
14226,76,1,770
14227,49,5,3018
14228,72,3,746
14229,38,4,1047
14230,70,3,980
14231,85,1,310
14233,100,3,1442
14235,133,4,1573
14236,7,4,1254
14237,8,2,471
14238,297,2,287
14239,66,10,1882
14240,58,1,357
14241,331,1,120
14243,0,8,4842
14244,295,1,366
14247,39,4,636
14248,94,2,730
14249,45,12,5625
14252,16,1,351
14253,128,2,363
14254,67,1,601
14255,181,1,1001
14256,126,3,1505
14257,15,4,2855
14258,30,16,19381
14260,106,3,824
14263,58,1,323
14264,14,4,1183
14265,99,2,843
14266,63,1,41
14268,105,1,355
14269,74,1,296
14271,44,1,107
14272,197,2,483
14274,321,1,257
14275,30,6,1189
14276,42,4,983
14277,46,6,13010
14278,44,1,206
14279,155,2,192
14281,43,1,245
14282,2,11,4120
14283,98,4,628
14284,288,1,704
14285,148,4,1374
14286,39,4,3851
14290,48,3,2202
14291,15,12,4021
14292,45,7,4354
14293,3,6,2221
14294,42,1,375
14295,73,4,2197
14296,56,2,456
14298,10,38,39667
14299,0,19,10534
14301,51,3,1352
14302,65,3,743
14303,42,2,278
14304,14,2,1342
14306,13,4,1058
14307,8,5,2075
14308,184,2,1147
14309,48,2,1428
14310,67,1,492
14311,202,1,206
14312,13,5,1479
14314,65,1,110
14315,199,2,717
14316,57,5,1370
14318,95,1,158
14319,59,1,495
14320,181,3,869
14321,66,2,687
14322,64,4,474
14324,44,2,702
14325,204,1,245
14326,98,2,757
14327,17,5,1583
14328,73,1,445
14329,10,8,4912
14330,258,1,201
14332,16,2,1077
14334,60,4,1766
14338,171,1,340
14339,63,1,311
14341,55,10,2285
14342,67,2,250
14343,56,4,1089
14344,2,14,2444
14346,60,3,1294
14347,371,1,83
14350,15,2,689
14353,45,2,286
14355,0,3,840
14358,24,2,400
14361,213,1,215
14363,37,2,227
14365,29,2,635
14366,160,1,136
14369,277,2,469
14370,85,6,1176
14372,78,2,860
14374,176,1,108
14375,85,2,875
14376,318,1,215
14378,256,1,131
14379,28,2,921
14380,317,1,49
14381,86,1,429
14382,25,1,621
14384,135,1,58
14388,7,9,3488
14389,59,3,855
14390,7,5,1747
14391,211,1,136
14392,67,1,266
14394,199,1,94
14395,7,12,4700
14396,6,6,1634
14398,36,2,708
14399,29,8,2113
14400,43,2,1158
14401,59,9,2744
14402,287,1,286
14403,224,2,405
14404,4,8,1425
14405,21,1,195
14408,106,4,1503
14409,3,5,1697
14410,11,2,1546
14412,59,1,656
14413,45,3,648
14414,9,1,902
14415,14,10,6191
14417,22,1,604
14419,17,1,203
14420,31,3,1252
14421,147,4,1656
14422,9,13,6008
14423,72,2,651
14425,69,3,661
14426,38,7,7246
14427,129,2,900
14429,38,1,516
14430,146,3,1221
14431,14,3,2144
14433,100,1,290
14435,136,1,90
14436,188,1,183
14437,0,5,896
14439,78,4,6782
14440,0,9,4281
14441,9,7,2899
14442,49,5,3777
